,ID,lon,lat,ele_info,land_cover
0,20283483,-121.92822440338604,45.60132248962407,658.1351991863676,needle
1,21227933,-128.2734195123001,59.80697667746383,682.8919805459788,needle
2,22170713,-92.90208258980327,52.806334956383495,303.42896564012256,needle
3,22097781,-126.2645693284305,60.26246648129689,826.6233797658758,needle
4,22379535,96.00836929957707,59.395773119471926,468.9553503155069,needle
5,23582678,-122.1068089828199,44.821040618141915,970.2909477346207,needle
6,23715452,-122.91931633970533,43.36457638065688,686.5665745721236,needle
7,23715257,-122.51097612948685,44.15836970315182,655.5877101636261,needle
8,22995867,148.92866240691336,-35.71233719578397,1097.9451805362828,needle
9,22891086,146.87124731075147,-36.96434250536769,798.1472395670185,needle
10,22535328,104.31666696357948,-1.6999996395135837,3.855340714174339,broadleaf
11,22728748,104.3979163605473,-1.4479161746526563,1.0170550985768374,broadleaf
12,21841683,145.6199115597511,-42.80194383911711,159.05392255845783,broadleaf
13,22732209,150.61406849714575,-33.105448679984285,385.6533520169113,broadleaf
14,22810914,150.1890269936603,-35.23824179395756,346.4698782760287,broadleaf
15,22893220,149.68489803430808,-36.190859614199844,510.04473494899753,broadleaf
16,20126909,67.35476788444889,66.85349889521656,29.534916099058144,shrublands
17,20126924,69.18507947221985,66.48434247400806,34.07241917677567,shrublands
18,21362948,135.08791584844138,68.89649206522168,290.7886756122512,shrublands
19,21362884,134.0090419129314,69.47886375309437,229.64690646612064,shrublands
20,22260358,143.29585116338345,67.76454201742507,151.56899476526036,shrublands
21,22167211,-111.19489175893486,33.52286265367684,1087.0355225576989,shrublands
22,21856555,-64.26512291881943,-40.56456012234567,92.87714156569415,shrublands
23,20419916,-7.978738990354566,40.21759978443631,465.28021579814026,savannas
24,20023729,-121.23556280270147,51.15109548489215,1091.6811103577547,savannas
25,21229086,-126.28275025413703,53.20184384267014,1140.925562613354,savannas
26,22170850,-94.92707560668732,51.497875079351616,356.5906435747513,savannas
27,22170840,-94.20416014484702,51.67064086505493,374.1187055234792,savannas
28,22097806,-117.33342938744349,58.2803832742266,360.5139689554371,savannas
29,22377250,124.92507359485566,66.43111657287704,155.9635132279386,savannas
30,20419988,-8.95212038957871,39.829198611906726,83.2757137304021,grasslands
31,20419928,-8.763169814649483,40.36976879507808,34.49117678623445,grasslands
32,20023874,-107.77739069441118,47.18953118791667,857.739087456557,grasslands
33,20146609,-106.03491186882336,45.85613656649037,939.4053093805846,grasslands
34,22692878,25.09813418228967,-22.837241834613366,1032.8374561034238,grasslands
